Cars,Power,Year,Car type
Mercedes-Benz C-class Coupe,457,2011 - 2015,coupe
Mercedes-Benz S-class Coupe,455,2014 - present,coupe
Mercedes-Benz SL-class,455,2016 - present,convertible
Mercedes-Benz S-class Cabriolet,455,2016 - present,convertible
Chrysler Viper GTS,450,1997 - 2002,coupe
Audi RS5 Coupe,450,2012 - 2015,coupe
Cadillac XLR,450,2004 - 2009,convertible
Aston Martin DB9,450,2004 - 2012,coupe
Audi RS4 Avant,450,2012 - 2015,wagon
Alfa Romeo 8C Spider,450,2010 - 2010,coupe
BMW 6-serie Cabrio,450,2015 - present,convertible
Audi S6 Avant,450,2014 - present,wagon
Audi RS5 Coupe,450,2010 - 2012,coupe
BMW 5-serie Gran Turismo,450,2013 - present,hatchback
BMW 5-serie Touring,450,2013 - 2017,wagon
BMW 6-serie Coupe,450,2015 - present,coupe
Audi RS6 Avant,450,2002 - 2004,wagon
Alfa Romeo 8C Competizione,450,2008 - 2008,coupe
Audi S7 Sportback,450,2014 - present,hatchback
Chrysler Viper GTS,450,1997 - 2002,coupe
Aston Martin DB9 Volante,450,2004 - 2012,convertible
Audi RS5 Cabriolet,450,2013 - 2015,convertible
Ferrari 456,442,1994 - 2004,coupe
Ferrari F512 M,441,1994 - 1996,coupe
Maserati GranCabrio,440,2010 - present,convertible
Chevrolet Corvette Coupe,437,2010 - 2014,coupe
Chevrolet Corvette Convertible,437,2010 - 2014,convertible
Audi S6 Avant,435,2006 - 2008,wagon
Mercedes-Benz SL-class,435,2012 - 2016,convertible
Marcos LM 500,435,1994 - 1998,coupe
Mercedes-Benz CL-class,435,2010 - 2014,coupe
Audi S6 Avant,435,2008 - 2011,wagon
BMW 4-serie Cabrio,431,2014 - 2017,convertible
BMW 4-serie Cabrio,431,2017 - present,convertible
BMW 4-serie Coupe,431,2017 - present,coupe
BMW 4-serie Coupe,431,2013 - 2017,coupe
Porsche Panamera,430,2009 - 2013,hatchback
Audi R8 Spyder,430,2010 - 2012,convertible
Audi R8,430,2012 - 2015,coupe
Porsche Panamera,430,2009 - 2013,coupe
Audi R8 Spyder,430,2012 - 2015,convertible
Porsche 911 Targa,430,2014 - 2016,coupe
Aston Martin V8 Vantage Roadster,426,2007 - present,convertible
Aston Martin V8 Vantage,426,2005 - present,coupe
Noble M400,425,2005 - 2008,coupe
Chrysler 300C Touring,425,2004 - 2011,wagon
Ferrari 360 Modena,425,1999 - 2005,coupe
